id,relative_path,file_name,file_size,sha256,sha1,md5,version,owner,vendor,isoSHA1,insert_time,state,create_time,modify_time,access_time,is_hidden,is_system,is_readonly,is_signed,issuer,thumbprint,signing_time,file_description,original_filename,internal_name,file_version,product_version,version_number,company_name,legal_copyright,legal_trademarks,product_name,private_build,special_build,operating_system,language,file_type,copyright,Extension
1,\autorun.inf,autorun.inf,128,3378723cb5910e5f3afe1ee2200b8f0d08bab8c5d77f7ce9fcb5725aff525852,f8b831b38942fbba9440b3e5e76e77c8f4c8d8ca,1ee3bd713baf8da75ecd537f7e086eb8,,\Everyone,,,2025-07-08 15:35:43.976358,ok,2021-09-13 16:52:50.224000,2021-09-13 16:52:50.224000,2021-09-13 16:54:54.008000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.inf
2,\bootmgr,bootmgr,413738,4eeac11be050843d0d824850d8646b966ce45f23102ff955dbef81d52c82d693,356c9752cdd51acfb24881a2e3bdcde8bd8bcaa1,25c4c0632e904dd7c943bc3554e8e449,,\Everyone,,,2025-07-08 15:35:44.001292,ok,2021-09-13 16:52:50.661000,2021-09-13 16:52:50.661000,2021-09-13 16:54:54.008000,0,0,1,0,,,,,,,,,,,,,,,,,,,,
3,\bootmgr.efi,bootmgr.efi,1541648,96b7ee39ac13c0ce9a73f30a6270c526b8c832c1170e5f6774deece8af012684,d415edd11b0ba1e0f6508ffb32c18e01be2b4d38,5bd03d407d2d6ef78f360b9008308d6b,10.0.19041.1,\Everyone,Microsoft Corporation,,2025-07-08 15:35:44.014292,ok,2021-09-13 16:52:50.787000,2021-09-13 16:52:50.787000,2021-09-13 16:54:54.008000,0,0,1,0,,,,Boot Manager,bootmgr.exe,bootmgr.exe,10.0.19041.1 (WinBuild.160101.0800),10.0.19041.1,10.0.19041.1,Microsoft Corporation,? Microsoft Corporation. All rights reserved.,,Microsoft? Windows? Operating System,,,,,,,.efi
4,\setup.exe,setup.exe,74184,30043368051ccaad512558f0c08a3f3da57f15967f38a76208f64eff06ee8043,34ecb5b3409b2a2936984cd0c6371a6497cf4392,f79384ea10cb3239563d3cfea5560210,10.0.19041.1,\Everyone,Microsoft Corporation,,2025-07-08 15:35:44.106014,ok,2021-09-13 16:52:50.302000,2021-09-13 16:52:50.302000,2021-09-13 16:54:54.008000,0,0,1,0,,,,Windows Installer,SETUP.EXE,Setup,10.0.19041.1 (WinBuild.160101.0800),10.0.19041.1,10.0.19041.1,Microsoft Corporation,? Microsoft Corporation. All rights reserved.,,Microsoft? Windows? Operating System,,,,,,,.exe
5,\boot\bcd,bcd,16384,163271449a0e8e108b9e78b04d732191d9bb6d556bf2bc0ce8a4cd56b84fcc3c,11813ada097698cf3dbca4b2cb71c915a1c86be5,2e606663ad052407e303e6b07330c23f,,\Everyone,,,2025-07-08 15:35:44.109013,ok,2021-09-13 16:52:50.396000,2021-09-13 16:52:50.396000,2021-09-13 16:54:54.008000,0,0,1,0,,,,,,,,,,,,,,,,,,,,
6,\boot\boot.sdi,boot.sdi,3170304,cd2c00ce027687ce4a8bdc967f26a8ab82f651c9becd703658ba282ec49702bd,bb025cedca07887916c4b7e5fa7a641ed3e30c14,22d9945b4aae36dd59620a918f2e65f4,,\Everyone,,,2025-07-08 15:35:44.125990,ok,2021-09-13 16:52:50.974000,2021-09-13 16:52:50.974000,2021-09-13 16:54:54.008000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.sdi
7,\boot\bootfix.bin,bootfix.bin,1024,a7a0edaf85f70e833fac02d0a416ae56ae2a3593e787f39c25dbb12830ca737c,2021c98f81b177d17543ebd34004891183fa3dd4,eb145d5f87ddf43c8bd6f27e97db8bf2,,\Everyone,,,2025-07-08 15:35:44.127984,ok,2021-09-13 16:52:50.349000,2021-09-13 16:52:50.349000,2021-09-13 16:54:54.008000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.bin
8,\boot\bootsect.exe,bootsect.exe,110392,55a47316aab6e275758ed63c0238e61edf4283f4afe7add099b128ce56092a02,64068391b62805bfd31180011a87b2bf7f493e96,381adf2102b335f9c5979c295b5e2684,10.0.19041.1,\Everyone,Microsoft Corporation,,2025-07-08 15:35:44.132953,ok,2021-09-13 16:52:50.880000,2021-09-13 16:52:50.880000,2021-09-13 16:54:54.023000,0,0,1,0,,,,Boot Sector Manipulation Tool,bootsect.exe,bootsect.exe,10.0.19041.1 (WinBuild.160101.0800),10.0.19041.1,10.0.19041.1,Microsoft Corporation,? Microsoft Corporation. All rights reserved.,,Microsoft? Windows? Operating System,,,,,,,.exe
9,\boot\etfsboot.com,etfsboot.com,4096,f425e135aac26b55e2bac655e62e2ce0b16255226c583d9ab43b2e93e8a6d932,62313ec73f381c052f2513ca6279cfb5107e98c0,d4befebf3cef129ac087422b9e912788,,\Everyone,,,2025-07-08 15:35:44.133966,ok,2021-09-13 16:52:50.427000,2021-09-13 16:52:50.427000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.com
10,\boot\memtest.exe,memtest.exe,1000760,bf8a9cc6a9774f7603cde0c988e8e4aae34cac0c23663dfdfbb8df8d719d41d2,846105578b87ef9a75333a71aca7a42e7f2e3609,a91ede8485de4f179527e94e6e6afc72,10.0.19041.1,\Everyone,Microsoft Corporation,,2025-07-08 15:35:44.143946,ok,2021-09-13 16:52:50.630000,2021-09-13 16:52:50.630000,2021-09-13 16:54:54.023000,0,0,1,0,,,,Memory Diagnostic,memdiag.exe,memdiag.exe,10.0.19041.1 (WinBuild.160101.0800),10.0.19041.1,10.0.19041.1,Microsoft Corporation,? Microsoft Corporation. All rights reserved.,,Microsoft? Windows? Operating System,,,,,,,.exe
11,\boot\fonts\chs_boot.ttf,chs_boot.ttf,3694080,13e470ab455716e87e0c7a89a8605a33d8dadc245f445141b3d9869da87feb20,03ad7aada17a724fa9b7b2926d99026f7b673008,cec569aa88293c3711ab8ce68523227e,,\Everyone,,,2025-07-08 15:35:44.165885,ok,2021-09-13 16:52:51.333000,2021-09-13 16:52:51.333000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
12,\boot\fonts\cht_boot.ttf,cht_boot.ttf,3876772,713ea9cdf88a141b9f5fe983afe7296ff60749f934663d5a2b62cb49aaf7be12,8280ff3c730e3d2f62640a859ac752135e791fbc,409caa06620bfd1ec6d6b10f0a67e428,,\Everyone,,,2025-07-08 15:35:44.187825,ok,2021-09-13 16:52:51.224000,2021-09-13 16:52:51.224000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
13,\boot\fonts\jpn_boot.ttf,jpn_boot.ttf,1984228,f2d36224161e8a1772208473c4310b2897f2b25af7733174afadf61773870f95,2ab6b331d79fd3bc9c99b11e8aedd776a4423ec2,27b5282821b61d8c6678fc577e9c1e73,,\Everyone,,,2025-07-08 15:35:44.198786,ok,2021-09-13 16:52:51.161000,2021-09-13 16:52:51.161000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
14,\boot\fonts\kor_boot.ttf,kor_boot.ttf,2371360,295a115432230017ac2e7e892da1594f58fb3af04b217e4d0aa4ed948afe9471,53691a366606e9a95ad06f3ab7459621d9004d3c,fe9445af8ac72e14f172a12edf525494,,\Everyone,,,2025-07-08 15:35:44.211761,ok,2021-09-13 16:53:02.065000,2021-09-13 16:53:02.065000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
15,\boot\fonts\malgun_boot.ttf,malgun_boot.ttf,178400,c21592992c7f374abc6218206bbda65afd98c5ff9322c2296da24c7cffd72d9c,5eab0b797fdfb21610bcb5aa7b52f27d6b332be6,3ff3ec226f656b3d718c4e4febbd31a6,,\Everyone,,,2025-07-08 15:35:44.213758,ok,2021-09-13 16:52:51.208000,2021-09-13 16:52:51.208000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
16,\boot\fonts\malgun_console.ttf,malgun_console.ttf,81412,c1e77b387320b56b72b32bfb74719c07f28da2dd8407f45cccc50c2a26ba9e02,b4aade614ad15bd9bd4eea5a7c996982fa462898,6ab5ebc02ce731cc6b1938b63693484e,,\Everyone,,,2025-07-08 15:35:44.214753,ok,2021-09-13 16:52:50.740000,2021-09-13 16:52:50.740000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
17,\boot\fonts\malgunn_boot.ttf,malgunn_boot.ttf,175944,58dd74fb3ba9d0b4e7ae3f5e42289a59f77628bcbe0bf1ed722794a707ba99c5,e86348c969ffb58db28007c5ce9d223629c74be2,726b387c66e1fc2eb0b88bda4c6f4c94,,\Everyone,,,2025-07-08 15:35:44.217746,ok,2021-09-13 16:52:51.099000,2021-09-13 16:52:51.099000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
18,\boot\fonts\meiryo_boot.ttf,meiryo_boot.ttf,144736,542e9827666e0ffd0a42b934bda65025635dfd3e6b689a9f0530679f8dabeed6,3634d9246f2791af84e90a357e8a7cff435909d5,85d0d36b7fa1671abab896c68408b429,,\Everyone,,,2025-07-08 15:35:44.218746,ok,2021-09-13 16:52:51.036000,2021-09-13 16:52:51.036000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
19,\boot\fonts\meiryo_console.ttf,meiryo_console.ttf,90600,1375b4d85bbca1b20987004c3b4d6ca159f8008ac049ca6a1d14006d4e89bbf7,70fb2ce2f14d31f502b6e674458dd9c01f54d202,600e450207722049644a03f47941b1ac,,\Everyone,,,2025-07-08 15:35:44.220738,ok,2021-09-13 16:52:50.990000,2021-09-13 16:52:50.990000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
20,\boot\fonts\meiryon_boot.ttf,meiryon_boot.ttf,143072,96a248044009c664909ec944bb0d0079a088269394b14a12516d4a648506aaab,2932e854d4d2457aea375c1a2708f7ab18499569,b4568e137c1815c8c2abd6041460e16f,,\Everyone,,,2025-07-08 15:35:44.222733,ok,2021-09-13 16:52:51.224000,2021-09-13 16:52:51.224000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
21,\boot\fonts\msjh_boot.ttf,msjh_boot.ttf,161416,761ade9653c0c814a95893bb00daa2935ae5ed717b2c798ac9ca5205cee49332,3d9df5f8410756c2bb1e93e7338d83447460e571,26ec06f33f50fea79c909fdb87c80eac,,\Everyone,,,2025-07-08 15:35:44.224722,ok,2021-09-13 16:52:51.099000,2021-09-13 16:52:51.099000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
22,\boot\fonts\msjh_console.ttf,msjh_console.ttf,202808,8d753e0b32d05060d5f65bc6debe502de1d658ac7645704061a2d2d5529ba6d4,d571527ab44ec39fda45120cbb9c13f4851aecd5,404cca9ef1a112d1617f6198104c6fb4,,\Everyone,,,2025-07-08 15:35:44.227720,ok,2021-09-13 16:52:51.068000,2021-09-13 16:52:51.068000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
23,\boot\fonts\msjhn_boot.ttf,msjhn_boot.ttf,159388,af3d41967979f7f54c7fce038e07e830d3673d89bea4883e02f3254ec7189cce,73eada64d838aa5f4d40a86f99597e3581ea764e,d9cce26c671b31f427909deb60d275b6,,\Everyone,,,2025-07-08 15:35:44.228716,ok,2021-09-13 16:52:51.052000,2021-09-13 16:52:51.052000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
24,\boot\fonts\msyh_boot.ttf,msyh_boot.ttf,157576,cf0302ddc22fecb5188a21a925e54cea4ae13f56a280ab6fd782db9f3682ee67,2dd97ebf698ee17d920cad426dbc3e0544036bf7,e7981e4eabf8eecfd2b04cb0e8a2ec66,,\Everyone,,,2025-07-08 15:35:44.230716,ok,2021-09-13 16:52:51.099000,2021-09-13 16:52:51.099000,2021-09-13 16:54:54.023000,0,0,1,0,,,,,,,,,,,,,,,,,,,,.ttf
